가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude
공백,카페,,,4.1,제주특별자치도 제주시 구좌읍 동복로 83,33.5535179,126.7151174
아줄레주,카페,,,4.2,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59 나동,33.3643757,126.8395566
양가형제,식당,양식,"버거, 수제버거, 샌드위치",4.0,제주특별자치도 제주시 한경면 청수동8길 3,33.3073725,126.2540944
레이지펌프,카페,,,4.1,제주특별자치도 제주시 애월읍 애월북서길 32,33.462809,126.3096777
미풍해장국,식당,한식,"해장국, 선지해장국",3.7,제주특별자치도 제주시 중앙로14길 13,33.5112617,126.5229262
안녕육지사람,식당,양식,"버거, 수제버거, 샌드위치",4.1,제주특별자치도 제주시 우도면 우도해안길 792,33.5151156,126.9572423
용왕난드르,식당,한식,"보말수제비, 비빔밥, 국수",4.1,제주특별자치도 서귀포시 안덕면 대평감산로 8,33.2354335,126.3670703
면뽑는선생만두빚는아내,식당,한식,"밀면, 만두, 전골",4.1,제주특별자치도 제주시 한림읍 한림상로 16,33.404813,126.2571296
산방식당,식당,한식,"수육, 밀면",3.8,제주특별자치도 서귀포시 대정읍 하모이삼로 62,33.223395,126.2543017
사형제횟집,식당,일식,"회, 고등어",4.0,제주특별자치도 제주시 한림읍 한림북동길 2,33.4155004,126.2648928
옥돔식당,식당,한식,"보말칼국수, 옥돔",3.8,제주특별자치도 서귀포시 대정읍 신영로36번길 62,33.2199418,126.2490877
유스커피,카페,,,4.3,제주특별자치도 제주시 구산로 54,33.48433,126.5407264
스타벅스,카페,,,4.1,제주특별자치도 제주시 조천읍 조함해안로 522,33.5440366,126.6537771
델문도,카페,,,3.8,제주특별자치도 제주시 조천읍 조함해안로 519-10,33.5437905,126.6688441
깡촌흑돼지,식당,한식,"흑돼지, 고기요리",4.0,제주특별자치도 제주시 조천읍 함덕14길 2,33.5412881,126.6671156
가시아방국수,식당,한식,"고기국수, 면요리",4.0,제주특별자치도 서귀포시 성산읍 섭지코지로 10,33.438616,126.918065
바다다,카페,,,3.7,제주특별자치도 서귀포시 대포로 148-15,33.2378889,126.4365638
리듬,카페,,,4.1,제주특별자치도 제주시 무근성 7길 11,33.5138019,126.5198694
하하호호,식당,양식,"버거, 샌드위치",4.0,제주특별자치도 제주시 우도면 우도해안길 532,33.5208272,126.948574
심바카레,식당,일식,"일본카레, 돈부리",4.1,제주특별자치도 제주시 애월읍 금성5길 44-16,33.4482312,126.302319
카페공작소,카페,,,4.1,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,33.5246476,126.8599392
너는파라다이스길리,카페,,,4.2,제주특별자치도 제주시 구좌읍 월정1길 65,33.5566513,126.7937413
더파크뷰,카페,,,4.2,제주특별자치도 서귀포시 중문관광로72번길 75 3F,33.2475582,126.4081161
지미스,카페,,,4.0,제주특별자치도 제주시 우도면 우도해안길 1132,33.4977772,126.9676695
스테이굿무드,카페,,,3.9,제주특별자치도 제주시 용남1길 32-4,33.5064078,126.513593
우정회센터,식당,한식,"꽁치김밥, 회, 해산물 요리",4.0,제주특별자치도 서귀포시 중앙로62번길 18,33.2501708,126.5636786
커피박물관바움,카페,,,4.0,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,33.4398006,126.8991174
원앤온리,카페,,,4.0,제주특별자치도 서귀포시 안덕면 산방로 141,33.23923,126.3192943
자매국수 본점,식당,한식,"고기국수, 돔베고기",4.1,제주특별자치도 제주시 일도2동 1034-10,33.5081461,126.5324273
가시아방,식당,한식,"고기국수, 아강발",3.9,제주특별자치도 서귀포시 성산읍 고성리 528-2,33.4388359,126.9187849
앤트러사이트 제주한림점,카페,,,3.8,제주특별자치도 제주시 한림읍 동명리 1715,33.4076458,126.2581716
돈사돈 본관,식당,한식,"근고기, 흑돼지",3.6,제주특별자치도 제주시 노형동 3086-3,33.4788707,126.4640837
은희네해장국 본점,식당,한식,"소고기 해장국, 해장국",3.6,제주특별자치도 제주시 일도2동 357-4,33.5085228,126.5408037
순옥이네명가,식당,한식,"전복뚝배기, 전복물회",3.6,제주특별자치도 제주시 도두1동 2615-5,33.5055582,126.4650641
경미네집,식당,한식,"문어라면, 해물라면",3.5,제주특별자치도 서귀포시 성산읍 성산리 145-4,33.4612504,126.9334723
리치망고 본점,카페,,,3.4,제주특별자치도 제주시 애월읍 고내리 474-1,33.4683713,126.3402434
구좌상회,카페,,,3.4,제주특별자치도 제주시 구좌읍 월정리 417,33.5468086,126.7838117
도두해녀의집,식당,한식,"물회, 한치, 전복죽",3.4,제주특별자치도 제주시 도두1동 2587-4,33.5062012,126.4666854
늘봄흑돼지,식당,한식,"흑돼지, 흑돼지 삼겹살",3.4,제주특별자치도 제주시 노형동 2343-3,33.4795151,126.4729821
용이식당,식당,한식,두루치기,3.4,제주도 서귀포시 천지동 298-8,33.2512764,126.5603458
